page	x	baseline_y	font_size	band_top	band_bottom	edges	clipped_top_px	clipped_bottom_px	visible_height_ratio	clip_ids	clip_rect	text	note
14	102.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	보	candidate only; visible glyph band is partially cut by SVG clip
14	115.3	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	보	candidate only; visible glyph band is partially cut by SVG clip
14	128.0	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	호	candidate only; visible glyph band is partially cut by SVG clip
14	147.0	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	등	candidate only; visible glyph band is partially cut by SVG clip
14	159.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	에	candidate only; visible glyph band is partially cut by SVG clip
14	178.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	관	candidate only; visible glyph band is partially cut by SVG clip
14	191.3	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	한	candidate only; visible glyph band is partially cut by SVG clip
14	210.3	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	법	candidate only; visible glyph band is partially cut by SVG clip
14	223.0	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	률	candidate only; visible glyph band is partially cut by SVG clip
14	235.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	」	candidate only; visible glyph band is partially cut by SVG clip
14	241.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	에	candidate only; visible glyph band is partially cut by SVG clip
14	260.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	따	candidate only; visible glyph band is partially cut by SVG clip
14	273.3	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	른	candidate only; visible glyph band is partially cut by SVG clip
14	292.3	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	정	candidate only; visible glyph band is partially cut by SVG clip
14	305.0	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	보	candidate only; visible glyph band is partially cut by SVG clip
14	317.7	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	통	candidate only; visible glyph band is partially cut by SVG clip
14	330.3	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	신	candidate only; visible glyph band is partially cut by SVG clip
14	343.0	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	82.5,120.1,717.5,472.5	망	candidate only; visible glyph band is partially cut by SVG clip
