page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
1	0	1		U+2027:\u2027×1	-
2	1	2	U+F000:\uf000×1	U+2027:\u2027×1,U+F02B1:\U000f02b1×1	-
3	54	0	U+002D:-×54		-
4	1	1	U+F000:\uf000×1	U+F02B2:\U000f02b2×1	-
5	0	1		U+2027:\u2027×1	-
6	0	0			-
7	0	2		U+2027:\u2027×2	-
8	24	32	U+F000:\uf000×24	U+2027:\u2027×8,U+25B8:\u25b8×24	-
9	47	48	U+F000:\uf000×47	U+2027:\u2027×1,U+25B8:\u25b8×47	-
10	2	2	U+F000:\uf000×2	U+0031:1×1,U+25B8:\u25b8×1	-
11	3	4	U+F000:\uf000×3	U+0032:2×1,U+0036:6×1,U+25B8:\u25b8×2	-
12	3	3	U+2463:\u2463×1,U+F000:\uf000×2	U+0033:3×1,U+0034:4×1,U+25B8:\u25b8×1	-
13	39	4	U+0029:)×1,U+002E:.×1,U+300D:\u300d×1,U+AC19:\uac19×1,U+AD00:\uad00×1,U+AD6C:\uad6c×1,U+B2E4:\ub2e4×2,U+B4F1:\ub4f1×1,U+B530:\ub530×1,U+B960:\ub960×1,U+B978:\ub978×1,U+B97C:\ub97c×1,U+B9DD:\ub9dd×1,U+BC95:\ubc95×1,U+BCF4:\ubcf4×3,U+C2E0:\uc2e0×1,U+C5D0:\uc5d0×2,U+C694:\uc694×1,U+C6A9:\uc6a9×1,U+C744:\uc744×1,U+C774:\uc774×2,U+C815:\uc815×1,U+D1B5:\ud1b5×1,U+D3EC:\ud3ec×1,U+D558:\ud558×1,U+D55C:\ud55c×3,U+D568:\ud568×1,U+D638:\ud638×1,U+F000:\uf000×4	U+0034:4×1,U+0035:5×1,U+25B8:\u25b8×2	-
14	2	130	U+F000:\uf000×2	U+0028:(×2,U+0029:)×2,U+002E:.×3,U+0031:1×1,U+0032:2×1,U+0036:6×1,U+0037:7×1,U+00B7:\xb7×1,U+2460:\u2460×1,U+25B8:\u25b8×2,U+300C:\u300c×1,U+300D:\u300d×1,U+318D:\u318d×2,U+AC01:\uac01×1,U+AC10:\uac10×4,U+AC19:\uac19×1,U+ACC4:\uacc4×1,U+ACE0:\uace0×1,U+ACFC:\uacfc×1,U+AD00:\uad00×3,U+AD6C:\uad6c×2,U+B294:\ub294×1,U+B2E4:\ub2e4×5,U+B2F5:\ub2f5×2,U+B41C:\ub41c×1,U+B4F1:\ub4f1×2,U+B530:\ub530×1,U+B610:\ub610×1,U+B828:\ub828×1,U+B8CC:\ub8cc×1,U+B960:\ub960×1,U+B978:\ub978×1,U+B97C:\ub97c×2,U+B9DD:\ub9dd×2,U+BA74:\uba74×1,U+BC0F:\ubc0f×1,U+BC95:\ubc95×2,U+BCC0:\ubcc0×2,U+BCF4:\ubcf4×4,U+BD09:\ubd09×1,U+C0AC:\uc0ac×5,U+C11D:\uc11d×2,U+C218:\uc218×1,U+C2E0:\uc2e0×2,U+C5D0:\uc5d0×3,U+C694:\uc694×3,U+C6A9:\uc6a9×2,U+C6D0:\uc6d0×2,U+C740:\uc740×1,U+C744:\uc744×1,U+C74C:\uc74c×1,U+C758:\uc758×3,U+C774:\uc774×4,U+C778:\uc778×2,U+C788:\uc788×2,U+C790:\uc790×3,U+C815:\uc815×4,U+C81C:\uc81c×2,U+C870:\uc870×2,U+C9C4:\uc9c4×1,U+CD09:\ucd09×1,U+CD9C:\ucd9c×3,U+CE58:\uce58×1,U+D1B5:\ud1b5×2,U+D3EC:\ud3ec×1,U+D544:\ud544×1,U+D558:\ud558×2,U+D55C:\ud55c×3,U+D560:\ud560×1,U+D568:\ud568×1,U+D56D:\ud56d×1,U+D638:\ud638×2	-
15	2	2	U+F000:\uf000×2	U+0037:7×1,U+25B8:\u25b8×1	-
16	0	2		U+2027:\u2027×2	-
17	0	1		U+2027:\u2027×1	-
