page	pi	ci	rows	cols	edge	table_bbox	line_x	line_y0	line_y1	stroke_width	visible_width_ratio	clip_ids	clip_rect	note
1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	-	-	1	1	right	84.2,2568.0,643.2,1296.2	727.5	2568.0	3864.2	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,995.1	candidate only; outer table stroke is emitted but hidden by SVG clip
5	-	-	1	1	right	84.2,5781.2,643.2,434.5	727.5	5781.2	6215.7	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,995.1	candidate only; outer table stroke is emitted but hidden by SVG clip
5	-	-	1	1	right	84.2,6219.5,643.2,933.6	727.5	6219.5	7153.1	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,995.1	candidate only; outer table stroke is emitted but hidden by SVG clip
6	-	-	1	1	right	84.2,2605.3,643.2,1296.2	727.5	2605.3	3901.5	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1028.3	candidate only; outer table stroke is emitted but hidden by SVG clip
6	-	-	1	1	right	84.2,5818.5,643.2,434.5	727.5	5818.5	6253.0	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1028.3	candidate only; outer table stroke is emitted but hidden by SVG clip
6	-	-	1	1	right	84.2,6256.8,643.2,933.6	727.5	6256.8	7190.3	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1028.3	candidate only; outer table stroke is emitted but hidden by SVG clip
7	-	-	1	1	right	84.2,2592.5,643.2,1296.2	727.5	2592.5	3888.7	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1019.8	candidate only; outer table stroke is emitted but hidden by SVG clip
7	-	-	1	1	right	84.2,5805.7,643.2,434.5	727.5	5805.7	6240.2	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1019.8	candidate only; outer table stroke is emitted but hidden by SVG clip
7	-	-	1	1	right	84.2,6244.0,643.2,933.6	727.5	6244.0	7177.5	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1019.8	candidate only; outer table stroke is emitted but hidden by SVG clip
8	-	-	1	1	right	84.2,1750.3,643.2,1296.2	727.5	1750.3	3046.5	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1022.4	candidate only; outer table stroke is emitted but hidden by SVG clip
8	-	-	1	1	right	84.2,4963.5,643.2,434.5	727.5	4963.5	5398.1	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1022.4	candidate only; outer table stroke is emitted but hidden by SVG clip
8	-	-	1	1	right	84.2,5401.8,643.2,933.6	727.5	5401.8	6335.4	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1022.4	candidate only; outer table stroke is emitted but hidden by SVG clip
9	-	-	1	1	right	84.2,1021.6,643.2,1296.2	727.5	1021.6	2317.8	0.5	0.000	body-clip-3,cell-clip-6,cell-clip-8	79.3,117.1,726.7,1020.4	candidate only; outer table stroke is emitted but hidden by SVG clip
